collision_severity,road_type,speed_limit,urban_or_rural_area,junction_detail,junction_control,light_conditions,weather_conditions,road_surface_conditions,carriageway_hazards,number_of_vehicles,number_of_casualties,vehicle_type_mode,any_skidding,avg_vehicle_age,time_sin,time_cos,day_sin,day_cos,speed_x_area
3,6,30,1,0,-1,1,1,1,0,2,1,3,0,7.0,0.7223639620597556,-0.6915130557822693,0.43388373911755823,-0.900968867902419,30
3,6,30,1,13,3,1,1,1,0,2,3,8,0,8.0,-0.7660444431189779,-0.6427876096865395,0.43388373911755823,-0.900968867902419,30
3,2,30,1,0,-1,1,1,1,0,1,2,9,0,8.0,0.6915130557822694,-0.7223639620597555,0.9749279121818236,-0.22252093395631434,30
3,2,20,1,13,4,4,1,1,0,2,1,1,0,1.5,-0.8549118706729468,0.5187732581605211,-0.433883739117558,-0.9009688679024191,20
3,9,30,2,0,-1,1,1,1,0,1,1,17,0,7.0,-0.9238795325112868,-0.3826834323650895,-0.7818314824680299,0.6234898018587334,60
3,6,30,1,19,4,1,2,2,0,2,2,9,0,6.0,-0.3826834323650892,-0.923879532511287,0.43388373911755823,-0.900968867902419,30
2,6,30,1,0,-1,1,1,1,0,2,1,9,0,9.5,-0.6788007455329418,-0.7343225094356856,-2.4492935982947064e-16,1.0,30
3,6,30,1,0,4,1,1,1,0,1,1,3,1,3.0,-0.872496007072797,-0.4886212414969553,0.7818314824680298,0.6234898018587336,30
3,3,70,2,0,-1,1,1,1,0,3,3,9,0,1.3333333333333333,-0.25460194820552745,-0.9670459389139432,0.9749279121818236,-0.22252093395631434,140
2,6,60,2,0,-1,1,1,1,0,2,2,9,0,5.5,-0.9940563382223195,-0.10886687485196507,-0.433883739117558,-0.9009688679024191,120
3,6,30,1,13,4,1,1,1,0,3,1,9,0,12.333333333333334,-0.5842496656374342,-0.8115739819650124,-0.7818314824680299,0.6234898018587334,30
3,6,30,1,16,2,1,1,1,0,2,1,9,0,6.0,-0.8594064115014526,0.5112930860770523,0.43388373911755823,-0.900968867902419,30
3,6,30,1,0,-1,1,1,1,0,2,1,9,0,9.5,0.8241261886220158,-0.5664062369248326,-0.7818314824680299,0.6234898018587334,30
3,6,30,2,0,-1,1,1,1,13,2,1,5,0,7.0,0.20791169081775931,-0.9781476007338057,-2.4492935982947064e-16,1.0,60
3,6,50,2,13,4,1,1,1,0,2,1,3,0,7.0,-0.28401534470392237,-0.9588197348681932,0.43388373911755823,-0.900968867902419,100
2,6,60,2,13,4,1,1,1,0,2,1,5,1,5.0,0.13052619222005157,-0.9914448613738104,0.9749279121818236,-0.22252093395631434,120
2,3,40,1,0,-1,1,1,1,0,1,1,9,0,2.0,-0.3624380382837015,-0.9320078692827986,0.43388373911755823,-0.900968867902419,40
2,6,30,1,13,4,7,1,1,0,2,1,9,0,7.0,-0.9255405040175665,0.37864861735243266,-0.433883739117558,-0.9009688679024191,30
3,6,30,1,13,4,1,1,1,0,3,1,3,0,8.0,-0.1478094111296106,-0.9890158633619168,-0.7818314824680299,0.6234898018587334,30
3,6,30,1,13,4,1,1,1,0,2,1,1,0,2.5,0.8638355052043957,-0.5037739770455262,0.43388373911755823,-0.900968867902419,30
3,6,20,1,0,-1,1,1,1,0,1,1,9,0,15.0,-0.13052619222005132,-0.9914448613738105,-0.9749279121818236,-0.2225209339563146,20
3,6,30,1,13,4,1,1,1,0,2,1,1,0,6.5,-0.19509032201612792,-0.9807852804032305,-0.7818314824680299,0.6234898018587334,30
2,6,40,2,13,4,4,1,1,0,1,1,9,2,14.0,0.9692309097067544,0.24615329302899316,-0.9749279121818236,-0.2225209339563146,80
3,6,60,2,0,-1,4,1,4,0,2,2,9,0,5.5,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,120
3,1,30,2,0,4,4,1,1,0,1,1,9,0,6.0,0.01745240643728351,0.9998476951563913,-2.4492935982947064e-16,1.0,60
3,6,50,2,0,-1,1,1,1,0,1,2,9,0,45.0,-0.8929789434111368,-0.4500984410374354,-0.7818314824680299,0.6234898018587334,100
3,6,30,1,13,4,1,1,2,0,2,1,1,0,7.0,-0.9762960071199334,-0.21643961393810282,-0.9749279121818236,-0.2225209339563146,30
3,1,70,2,0,2,1,2,2,0,4,1,9,0,3.75,0.45399049973954686,-0.8910065241883678,0.9749279121818236,-0.22252093395631434,140
3,6,50,2,0,-1,1,1,1,0,2,1,5,0,14.0,-0.9411760152563706,-0.337916718003327,-0.9749279121818236,-0.2225209339563146,100
3,3,70,2,0,-1,6,1,2,0,1,1,4,1,8.0,-0.9940563382223195,-0.10886687485196507,-2.4492935982947064e-16,1.0,140
3,6,30,2,13,4,4,1,1,0,1,1,9,0,13.0,-0.9972501850994857,-0.07410849019539925,-0.433883739117558,-0.9009688679024191,60
3,3,70,2,0,-1,1,2,5,0,1,1,9,2,5.0,-0.3338068592337705,-0.9426414910921785,-0.7818314824680299,0.6234898018587334,140
3,6,30,2,0,-1,1,1,1,0,2,1,9,0,10.0,0.3826834323650899,-0.9238795325112867,-0.7818314824680299,0.6234898018587334,60
3,6,60,2,18,4,1,2,1,0,2,2,9,0,6.0,0.3583679495453002,-0.9335804264972017,0.9749279121818236,-0.22252093395631434,120
2,3,70,2,0,-1,1,1,2,0,1,1,9,1,15.0,-0.1779435454738416,-0.9840406976462909,-0.433883739117558,-0.9009688679024191,140
3,6,50,1,0,-1,1,1,1,0,2,3,9,0,16.5,-0.5262139236518699,0.8503522249955626,-0.7818314824680299,0.6234898018587334,50
3,6,30,1,13,4,4,1,1,0,2,1,3,2,3.0,-0.38268343236508956,0.9238795325112868,-0.7818314824680299,0.6234898018587334,30
3,6,30,1,13,4,1,1,4,0,2,2,9,0,8.5,0.6691306063588583,-0.7431448254773941,-0.9749279121818236,-0.2225209339563146,30
3,6,60,2,13,4,1,1,1,0,2,1,1,0,6.0,-0.7071067811865475,-0.7071067811865477,-0.433883739117558,-0.9009688679024191,120
3,3,60,1,0,-1,1,1,1,0,1,1,9,0,24.0,0.8090169943749475,-0.587785252292473,0.43388373911755823,-0.900968867902419,60
3,6,60,2,0,-1,6,2,2,15,1,1,9,5,17.0,-0.9988483864849507,-0.0479781285213447,-0.7818314824680299,0.6234898018587334,120
3,6,60,2,0,-1,7,1,1,0,2,1,9,0,4.5,-0.4226182617407,0.9063077870366497,0.9749279121818236,-0.22252093395631434,120
3,6,30,1,13,4,1,1,1,0,1,1,9,0,5.0,-0.9304175679820246,-0.3665012267242972,0.43388373911755823,-0.900968867902419,30
3,6,20,1,0,-1,1,1,1,0,4,1,9,0,13.25,-0.9876883405951378,0.15643446504023067,-0.433883739117558,-0.9009688679024191,20
