collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2022991196211,2022,991196211,2,3,2,2,50,8,3,0,0,1,0,0,9,1,-1,3,1,0,1,-1
2022161236417,2022,161236417,1,2,3,2,53,8,3,6,5,0,0,2,0,6,E01013160,3,1,0,1,-1
2022010359447,2022,010359447,1,2,3,2,11,3,3,5,3,0,0,0,0,2,E01003501,-1,0,0,1,-1
2022141183036,2022,141183036,1,2,3,2,3,1,3,6,9,0,0,2,0,1,E01007338,3,1,0,1,-1
2022522203685,2022,522203685,1,1,3,1,27,6,3,9,5,0,0,0,0,10,E01022643,-1,0,0.08885,0.91115,-1
2022320352707,2022,320352707,2,1,1,1,11,3,3,0,0,0,0,0,1,7,E01026275,-1,0,0.11898,0.88102,-1
2022010355156,2022,010355156,1,1,1,1,31,6,3,0,0,0,0,0,2,1,E01002094,-1,0,0,1,-1
2022010394048,2022,010394048,1,1,1,1,29,6,3,0,0,0,0,0,9,-1,-1,-1,0,0,1,-1
2022520204502,2022,520204502,1,1,1,2,32,6,3,0,0,0,0,0,9,6,E01014451,-1,0,0.0042,0.9958,-1
2022010356912,2022,010356912,1,1,1,1,35,6,3,0,0,0,0,0,9,9,E01004387,-1,0,0,1,-1
2022041187171,2022,041187171,1,1,1,1,78,11,3,0,0,0,0,0,9,9,E01025021,3,1,0,1,-1
2022131143478,2022,131143478,1,1,2,2,23,5,3,0,0,1,0,0,9,1,E01010842,3,1,0,1,-1
2022471168677,2022,471168677,1,1,1,2,84,11,3,0,0,0,0,0,9,10,E01021132,3,1,0,1,-1
2022031216926,2022,031216926,2,3,1,2,35,6,3,0,0,0,0,0,9,10,E01019347,3,1,0,1,-1
2022311156861,2022,311156861,2,1,1,2,22,5,2,0,0,0,0,0,9,7,E01028378,7,1,1,0,-1
2022311169447,2022,311169447,2,1,1,1,36,7,3,0,0,0,0,0,9,7,E01028157,3,1,0,1,-1
2022131207957,2022,131207957,2,1,2,2,19,4,3,0,0,1,0,0,9,3,E01010810,3,1,0,1,-1
2022302201927,2022,302201927,1,1,1,2,21,5,3,0,0,0,0,0,9,4,E01013524,-1,0,0.03629,0.96371,-1
2022421249317,2022,421249317,2,1,1,1,48,8,3,0,0,0,0,0,9,5,E01021393,3,1,0,1,-1
2022320152609,2022,320152609,2,1,1,1,32,6,3,0,0,0,0,0,20,7,E01032989,-1,0,0.06237,0.93763,-1
2022010370477,2022,010370477,1,3,2,2,45,7,3,0,0,2,0,0,9,9,E01015982,-1,0,0,1,-1
2022161150704,2022,161150704,2,1,1,2,28,6,3,0,0,0,0,0,9,4,E01012883,3,1,0,1,-1
2022201204557,2022,201204557,2,1,1,2,48,8,3,0,0,0,0,0,9,6,E01033618,3,1,0,1,-1
2022421170812,2022,421170812,1,1,1,1,27,6,3,0,0,0,0,0,9,4,E01021894,3,1,0,1,-1
2022052201942,2022,052201942,1,5,2,1,8,2,3,0,0,2,0,0,9,-1,-1,-1,0,0.03095,0.96905,-1
2022231150141,2022,231150141,1,1,1,1,28,6,2,0,0,0,0,0,9,8,E01010192,7,1,1,0,-1
2022451153526,2022,451153526,2,1,1,1,79,11,3,0,0,0,0,0,9,4,E01001061,3,1,0,1,-1
2022430271764,2022,430271764,1,1,2,2,74,10,2,0,0,0,4,0,11,4,E01028532,-1,0,1,0,-1
2022010368816,2022,010368816,1,2,2,1,19,4,3,0,0,2,0,0,9,2,E01001257,-1,0,0,1,-1
2022041143382,2022,041143382,2,1,1,2,45,7,3,0,0,0,0,0,9,-1,-1,3,1,0,1,-1
2022451250515,2022,451250515,1,1,1,1,30,6,3,0,0,0,0,0,9,5,E01004096,3,1,0,1,-1
2022201267903,2022,201267903,1,1,3,1,-1,-1,3,5,3,0,0,2,0,-1,-1,3,1,0,1,-1
2022552200485,2022,552200485,2,1,1,1,27,6,2,0,0,0,0,0,5,5,E01015286,-1,0,1,0,-1
